Transaction_ID;Transaction_date;Supplier;Price;Payment_Type;Client ID;City;State;Country;Account_Created;Last_Login
12340;01/02/09 06:17;25678;1200;Mastercard;54700;Basildon;England;United Kingdom;01/02/09 06:00;01/02/09 06:08
12341;01/02/09 04:53;25679;1200;Visa;54701;Parkville                   ;MO;United States;01/02/09 04:42;01/02/09 07:49
12342;01/02/09 13:08;25680;1200;Mastercard;54702;Astoria                     ;OR;United States;01/01/09 16:21;01/03/09 12:32
12343;01/03/09 14:44;25681;1200;Visa;54703;Echuca;Victoria;Australia;9/25/05 21:13;01/03/09 14:22
12344;01/04/09 12:56;25682;3600;Visa;54704;Cahaba Heights              ;AL;United States;11/15/08 15:47;01/04/09 12:45
12345;01/04/09 13:19;25683;1200;Visa;54705;Mickleton                   ;NJ;United States;9/24/08 15:19;01/04/09 13:04
12346;01/04/09 20:11;25684;1200;Mastercard;54706;Peoria                      ;IL;United States;01/03/09 09:38;01/04/09 19:45
12347;01/02/09 20:09;25685;1200;Mastercard;54707;Martin                      ;TN;United States;01/02/09 17:43;01/04/09 20:01
12348;01/04/09 13:17;25686;1200;Mastercard;54708;Tel Aviv;Tel Aviv;Israel;01/04/09 13:03;01/04/09 22:10
12349;01/04/09 14:11;25687;1200;Visa;54709;Chatou;Ile-de-France;France;06/03/08 04:22;01/05/09 01:17
12350;01/05/09 02:42;25688;1200;Diners;54710;New York                    ;NY;United States;01/05/09 02:23;01/05/09 04:59
12351;01/05/09 05:39;25689;1200;Amex;54711;Eindhoven;Noord-Brabant;Netherlands;01/05/09 04:55;01/05/09 08:15
12352;01/02/09 09:16;25690;1200;Mastercard;54701;Shavano Park                ;TX;United States;01/02/09 08:32;01/05/09 09:05
12353;01/05/09 10:08;25691;1200;Visa;54702;Eagle                       ;ID;United States;11/11/08 15:53;01/05/09 10:05
12354;01/02/09 14:18;25692;1200;Visa;54703;Riverside                   ;NJ;United States;12/09/08 12:07;01/05/09 11:01
12355;01/04/09 01:05;25693;1200;Diners;54704;Julianstown;Meath;Ireland;01/04/09 00:00;01/05/09 13:36
12356;01/05/09 11:37;25694;1200;Visa;54705;Ottawa;Ontario;Canada;01/05/09 09:35;01/05/09 19:24
12357;01/06/09 05:02;25695;1200;Diners;54706;Hyderabad;Andhra Pradesh;India;01/06/09 02:41;01/06/09 07:52
12358;01/06/09 07:45;25696;3600;Visa;54707;London;England;United Kingdom;01/06/09 07:00;01/06/09 09:17
12359;01/02/09 07:35;25697;1200;Diners;54708;Salt Lake City              ;UT;United States;12/30/08 5:44;01/06/09 10:52
12360;01/06/09 12:56;25698;1200;Visa;54709;Manchester;England;United Kingdom;01/06/09 10:58;01/06/09 13:31
12361;01/01/09 11:05;25699;1200;Diners;54710;Ballynora;Cork;Ireland;12/10/07 12:37;01/07/09 01:52
12362;01/05/09 04:10;25700;1200;Mastercard;54711;Roodepoort;Gauteng;South Africa;01/05/09 02:33;01/07/09 05:13
12363;01/06/09 07:18;25701;1200;Visa;54712;Chula Vista                 ;CA;United States;01/06/09 07:07;01/07/09 07:08
12364;01/02/09 01:11;25702;1200;Mastercard;54713;Kuopio;Ita-Suomen Laani;Finland;12/31/08 2:48;01/07/09 10:20
12365;01/01/09 02:24;25703;1200;Visa;54714;Sugar Land                  ;TX;United States;01/01/09 01:56;01/07/09 10:52
12366;01/07/09 08:08;25704;1200;Diners;54715;New York                    ;NY;United States;01/07/09 07:39;01/07/09 12:38
12367;01/02/09 02:57;25705;1200;Visa;54716;London;England;United Kingdom;01/03/08 07:23;01/07/09 13:14
12368;01/01/09 20:21;25706;1200;Visa;54717;Morton                      ;IL;United States;10/24/08 6:48;01/07/09 20:49
12369;01/08/09 00:42;25707;1200;Visa;54718;Los Gatos                   ;CA;United States;01/08/09 00:28;01/08/09 03:39
12370;01/08/09 03:56;25708;1200;Mastercard;54719;New York                    ;NY;United States;01/08/09 03:33;01/08/09 06:19
12371;01/08/09 03:16;25709;1200;Mastercard;54720;Miami                       ;FL;United States;01/08/09 03:06;01/08/09 06:34
12372;01/08/09 01:59;25710;1200;Mastercard;54721;Vesenaz;Geneve;Switzerland;11/28/07 11:56;01/08/09 07:20
12373;01/03/09 09:03;25711;1200;Diners;54722;Brooklyn                    ;NY;United States;01/03/09 08:47;01/08/09 10:38
12374;01/05/09 13:17;25712;1200;Mastercard;54723;Badhoevedorp;Noord-Holland;Netherlands;01/05/09 12:45;01/08/09 11:45
12375;01/06/09 07:46;25713;1200;Amex;54724;Reston                      ;VA;United States;01/06/09 07:30;01/08/09 12:40
12376;01/05/09 20:00;25714;3600;Visa;54725;Burpengary;Queensland;Australia;12/10/08 19:53;01/08/09 17:58
12377;01/08/09 16:24;25715;1200;Visa;54726;Phoenix                     ;AZ;United States;01/08/09 15:57;01/08/09 18:30
12378;01/09/09 06:39;25716;1200;Mastercard;54727;Houston                     ;TX;United States;01/09/09 05:09;01/09/09 07:11
12379;01/06/09 22:19;25717;3600;Amex;54728;Pittsfield                  ;VT;United States;01/06/09 12:00;01/09/09 10:05
12380;01/06/09 23:00;25718;3600;Amex;54729;Pittsfield                  ;VT;United States;01/06/09 12:00;01/09/09 10:05
12381;01/07/09 07:44;25719;1200;Mastercard;54730;Ball Ground                 ;GA;United States;01/07/09 05:35;01/09/09 10:52
12382;01/03/09 13:24;25720;1200;Visa;54731;Helsingor;Frederiksborg;Denmark;01/03/09 12:47;01/09/09 11:14
12383;01/07/09 15:12;25721;3600;Visa;54732;Flossmoor                   ;IL;United States;01/05/09 19:55;01/09/09 16:03
12384;01/07/09 20:15;25722;1200;Amex;54733;Houston                     ;TX;United States;01/07/09 17:17;01/09/09 20:02
12385;01/03/09 10:11;25723;3600;Visa;54734;Delray Beach                ;FL;United States;01/03/09 09:27;01/10/09 09:46
12386;01/09/09 15:58;25724;1200;Mastercard;54735;Newbury;England;United Kingdom;01/09/09 14:53;01/10/09 13:16
12387;01/03/09 13:11;25725;1200;Mastercard;54736;Kobenhavn;Kobenhavn;Denmark;10/31/08 0:31;01/10/09 13:24
12388;01/10/09 12:57;25726;1200;Amex;54737;Sandy Springs               ;GA;United States;02/07/07 20:16;01/10/09 14:09
12389;01/10/09 14:43;25727;1200;Diners;54738;Kinsaley;Dublin;Ireland;01/09/09 11:38;01/10/09 14:37
12390;01/10/09 12:05;25728;1200;Visa;54739;Fort Lauderdale             ;FL;United States;07/01/08 12:53;01/10/09 16:33
12391;01/06/09 01:20;25729;1200;Mastercard;54740;Melbourne;Victoria;Australia;01/02/09 17:51;01/10/09 18:27
12392;01/10/09 14:56;25730;1200;Visa;54741;Ankeny                      ;IA;United States;01/08/09 03:06;01/10/09 19:41
12393;01/07/09 10:01;25731;1200;Visa;54742;Pittsboro                   ;NC;United States;01/07/09 09:04;01/10/09 20:02
12394;01/01/09 01:26;25732;1200;Mastercard;54743;New Rochelle                ;NY;United States;01/01/09 00:58;01/10/09 21:31
12395;01/11/09 02:04;25733;1200;Visa;54744;Gold Coast;Queensland;Australia;01/11/09 00:33;01/11/09 02:11
12396;01/11/09 14:17;25734;1200;Visa;54745;Brussels;Brussels (Bruxelles);Belgium;01/11/09 13:39;01/11/09 13:39
12397;01/10/09 21:38;25735;1200;Visa;54746;Maple Ridge District Municipality;British Columbia;Canada;01/10/09 21:17;01/11/09 19:32
