Transaction_ID;Transaction_date;Supplier;Price;Payment_Type;Client ID;City;State;Country
12340;01/02/09 06:17;25678;1200;Mastercard;54700;Basildon;England;United Kingdom
12341;01/02/09 04:53;25679;1200;Visa;54701;Parkville                   ;MO;United States
12342;01/02/09 13:08;25680;1200;Mastercard;54702;Astoria                     ;OR;United States
12343;01/03/09 14:44;25681;1200;Visa;54703;Echuca;Victoria;Australia
12344;01/04/09 12:56;25682;3600;Visa;54704;Cahaba Heights              ;AL;United States
12345;01/04/09 13:19;25683;1200;Visa;54705;Mickleton                   ;NJ;United States
12346;01/04/09 20:11;25684;1200;Mastercard;54706;Peoria                      ;IL;United States
12347;01/02/09 20:09;25685;1200;Mastercard;54707;Martin                      ;TN;United States
12348;01/04/09 13:17;25686;1200;Mastercard;54708;Tel Aviv;Tel Aviv;Israel
12349;01/04/09 14:11;25687;1200;Visa;54709;Chatou;Ile-de-France;France
12350;01/05/09 02:42;25688;1200;Diners;54710;New York                    ;NY;United States
12351;01/05/09 05:39;25689;1200;Amex;54711;Eindhoven;Noord-Brabant;Netherlands
12352;01/02/09 09:16;25690;1200;Mastercard;54701;Shavano Park                ;TX;United States
12353;01/05/09 10:08;25691;1200;Visa;54702;Eagle                       ;ID;United States
12354;01/02/09 14:18;25692;1200;Visa;54703;Riverside                   ;NJ;United States
12355;01/04/09 01:05;25693;1200;Diners;54704;Julianstown;Meath;Ireland
12356;01/05/09 11:37;25694;1200;Visa;54705;Ottawa;Ontario;Canada
12357;01/06/09 05:02;25695;1200;Diners;54706;Hyderabad;Andhra Pradesh;India
12358;01/06/09 07:45;25696;3600;Visa;54707;London;England;United Kingdom
12359;01/02/09 07:35;25697;1200;Diners;54708;Salt Lake City              ;UT;United States
12360;01/06/09 12:56;25698;1200;Visa;54709;Manchester;England;United Kingdom
12361;01/01/09 11:05;25699;1200;Diners;54710;Ballynora;Cork;Ireland
12362;01/05/09 04:10;25700;1200;Mastercard;54711;Roodepoort;Gauteng;South Africa
12363;01/06/09 07:18;25701;1200;Visa;54712;Chula Vista                 ;CA;United States
12364;01/02/09 01:11;25702;1200;Mastercard;54713;Kuopio;Ita-Suomen Laani;Finland
12365;01/01/09 02:24;25703;1200;Visa;54714;Sugar Land                  ;TX;United States
12366;01/07/09 08:08;25704;1200;Diners;54715;New York                    ;NY;United States
12367;01/02/09 02:57;25705;1200;Visa;54716;London;England;United Kingdom
12368;01/01/09 20:21;25706;1200;Visa;54717;Morton                      ;IL;United States
12369;01/08/09 00:42;25707;1200;Visa;54718;Los Gatos                   ;CA;United States
12370;01/08/09 03:56;25708;1200;Mastercard;54719;New York                    ;NY;United States
12371;01/08/09 03:16;25709;1200;Mastercard;54720;Miami                       ;FL;United States
12372;01/08/09 01:59;25710;1200;Mastercard;54721;Vesenaz;Geneve;Switzerland
12373;01/03/09 09:03;25711;1200;Diners;54722;Brooklyn                    ;NY;United States
12374;01/05/09 13:17;25712;1200;Mastercard;54723;Badhoevedorp;Noord-Holland;Netherlands
