id,name,url,type,social.twitter.handle,generalInfo.generalRule,generalInfo.childRule,accessibleSeatingDetail,parkingDetail,ada.adaCustomCopy,ada.adaHours,ada.adaPhones,address.line1,city.name,state.name,state.stateCode,country.name,country.countryCode,postalCode,locale,location.latitude,location.longitude,timezone,upcomingEvents._total,upcomingEvents.ticketmaster,upcomingEvents.tmr,boxOfficeInfo.acceptedPaymentDetail,boxOfficeInfo.openHoursDetail,boxOfficeInfo.phoneNumberDetail,boxOfficeInfo.willCallDetail,_links.self.href
KovZpZA7AAEA,Madison Square Garden,https://www.ticketmaster.com/madison-square-garden-tickets-new-york/venue/483329,venue,@TheGarden,"ARRIVE EARLY: Please arrive at least one-hour prior to event time. All patrons will go through a screening process upon entry with all packages, including briefcases and pocketbooks, being inspected prior to entry. Additionally, metal detectors may be utilized for some events. Bags that have passed inspection must fit comfortably under your seat.Please be mindful of traffic conditions, as Midtown Manhattan can be quite congested, especially during the holidays, parades, or special events. No smoking or electronic cigarettes permitted anywhere in the building No reentry. No recording devices No outside food or drink There are no bag or coat check facilities Alcohol Management: For most events at MSG, alcoholic beverages are available for purchase. MSG staff is trained in the nationally recognized T.E.A.M. (Techniques for Effective Alcohol Management) training program for responsible alcohol management. All guests will be required to show ID to purchase alcohol. Guests are not permitted to bring in alcoholic beverages from outside and may not leave with alcohol purchased inside the venue. Management reserves the right to refuse the sale of alcohol to any guest. Please be aware that it is the policy of The Madison Square Garden Company to require all guests who appear to be forty (40) years of age or younger to present a valid form of ID with proof of age in order to purchase alcoholic beverages at Madison Square Garden, Radio City Music Hall, The Beacon Theatre or The Chicago Theatre. Pursuant to applicable State law, MSG accepts only the following forms of identification: • A valid driver’s license or non-driver identification card issued by the United States Government, a State Government, Commonwealth, Possession or Territory of the United States or a Provincial Government of Canada. • A valid passport • A valid U.S. military ID International guests wishing to consume alcohol inside the building must bring a valid passport as the only form of acceptable ID.","For most events, all children who have reached their second birthday require a ticket to gain admittance to Madison Square Garden. Any child who has yet to reach their second birthday does not require a ticket, however, they may not occupy their own seat. Please note, that for certain children's events (such as the Wiggles and Sesame Street Live!), all children who have reached their first birthday require a ticket. Please check the event profile for your specific event for more information prior to your purchase of tickets.","MSG WHEELCHAIR AND TRANSFER SEATING POLICY: Wheelchair and Transfer seating is reserved exclusively for patrons with accessible needs and their companions. Accessible seating is intended for use by an individual with a mobility disability or other disability who requires the accessible features of accessible seating due to a disability, and that individual's companions. Madison Square Garden (MSG) reserves the right to investigate potential misuse of accessible seating and to take all appropriate action against individuals who fraudulently obtain tickets for accessible seating. While tickets for accessible seating legitimately purchased for the use of an individual with disability may be transferred to another individual under the same terms and conditions applicable to other tickets, in the event such ticket is transferred to a non-disabled individual, MSG reserves the right to transfer that individual to other available seating TO ORDER WHEELCHAIR AND TRANSFER SEATING: Tickets for people with accessible needs, subject to availability, may be purchased in several ways: 1) Call Ticketmaster at 866-858-0008 2) Call MSG's Disabled Services Department at (212)465-6115. 3) Visit Madison Square Garden's Box Office (see box office hours above) 4) Order Online with Ticketmaster (select your event from the list to the left) For additional information regarding accessibility at Madison Square Garden or to request any other accommodations, please call MSG's Disabled Services Department at (212) 465-6115 any weekday between 9:30am-4:30pm ET. Service Animals Pets are not permitted at Madison Square Garden. MSG has very specific policies related to service and emotional support animals. Please visit www.thegarden.com to obtain more information for admitting your animal. Assistive listening devices (ALDAs) are available upon request. Please visit the Guest Experience Office across from section 117 for assistance. There is no charge for this service, however some form of identification will be requested and returned to you, once the device is checked back in. Wheelchair Storage: For patrons who wish to transfer to a seat from their wheelchair, we will store your mobility device at the Guest Experience Office. You will receive a claim check for your device. Wheelchair Escorts to Seats: Patrons with mobility impairments who do not have access to a wheelchair may request a wheelchair to transport the individual to/from their seat, free of charge. Please be aware that our personnel cannot remain with you during the event, nor will they allow you to remain in or keep the wheelchair for the duration of the event. In the event a patron requires the use of a wheelchair for the duration of the event, we recommend bringing your own wheelchair or other mobility device. The escort pick-up area is located on the South (toward 31st) side of Chase Square at elevator alcove. Please allow for extra so that you may be accommodated prior to the event start. Simply ask a Guest Experience Representative or a MSG Security Guard for assistance. Elevators: Public elevators are available for use by guests with disabilities and service every seating level",Prepaid advance parking is available for select events through Ticketmaster or via a link on www.thegarden.com. Madison Square Garden does not own or operate any parking facility.,"Individuals with disabilities may purchase up to three seats for companions in the wheelchair or other accessible seating areas, provided such seats are available.  Additional tickets, if available, may be purchased as close to the accessible seating areas, as long as it does not exceed the ticket limit for the event.  Please note, for events or specific seating sections where ticket sales are limited to fewer than four tickets per patron, the same ticket restrictions will apply to the purchase of accessible seating.

Accessible seating is intended for use by an individual with a mobility disability or other disability who requires the accessible features of accessible seating due to a disability, and that individual's companions.  Madison Square Garden reserves the right to investigate potential misuse of accessible seating and to take all appropriate action against individuals who fraudulently obtain tickets for accessible seating.  While tickets for accessible seating legitimately purchased for the use of an individual with disability may be transferred to another individual under the same terms and conditions applicable to other tickets, in the event such ticket is transferred to a nondisabled individual, Madison Square Garden reserves the right to transfer that individual to other available seating.

If the disabled individual cannot attend an event for which he/she has purchased tickets, please contact the Madison Square Garden Disabled Services Department at 212-465-6034 prior to the event taking place for further information. 

Tickets for individuals with accessible needs, subject to availability, may be purchased in several ways:

1) Online through Ticketmaster.com
2) By phone to the Disabled Services Department at 212-465-6034
3) By phone to Ticketmaster at 800-745-3000
4) In-person by visiting the Madison Square Garden Box Office

Assistive Listening Devices (ALD) are available at Guest Experience locations in the Arena. 
","For additional information regarding Access at Madison Square Garden or to discuss any other accommodations, please contact the Disabled Services Department at 212-465-6034 between the hours of 9:30am and 4:30pm, Monday – Friday. ",Inquiries or requests concerning accessibility should be directed to the Accessible Services Department for Madison Square Garden at 212-465-6034.,7th Ave & 32nd Street,New York,New York,NY,United States Of America,US,10001,en-us,40.7497062,-73.9916006,America/New_York,174,168,6.0,"Cash, American Express, Visa, MasterCard, Discover. ATM machines are located in Chase Square.","Monday - Saturday: 10:00am to 6:00pm **Tickets are not on-sale at the Box Office on the first day an event goes on-sale** The Box Office will be open at 10:00am daily or 90 minutes before the 1st performance of the day, whichever is earlier and will stay open until 8:00pm or 30 minutes after the last performance of the day begins, whichever is later. Sunday – Closed If an event takes place on Sunday, Box Office will open 90 minutes before the event start time and remain open 1 hour after event start time for Will Call and tickets sales for the evening's event only.",General Info: (212) 465-MSG1 (6741) or (212) 247-4777 Knicks Information: 1(877) NYK-DUNK. Rangers Fan Line: (212) 465-4459. Liberty Hotline: (212) 564-WNBA (9622). Season Subscriptions: (212) 465-6073. Disabled Services: (212) 465-6034 Guest Relations: (212) 465 - 6225 Group Sales: (212) 465-6100 Lost and Found: (212) 465-6299,Pick-up tickets anytime the day of the show during box office hours (see above). Customers must present the actual credit card used to place the order and a picture ID. MSG cannot accept third party or “drop offs” from individual patrons.,/discovery/v2/venues/KovZpZA7AAEA?locale=en-us
KovZpZAJtFaA,AmericanAirlines Arena,https://www.ticketmaster.com/americanairlines-arena-tickets-miami/venue/106601,venue,@AAarena,"For all you need to know from A-Z, please log on to: AAarena.com/GuideAAarena.com/Guide",,This is an accessible venue.,Suggested Parking Information: http://d2yex7fc50u2fe.cloudfront.net/pdfs/ Event_parking_options.pdf,,,,601 Biscayne Blvd,Miami,Florida,FL,United States Of America,US,33132,en-us,25.781232,-80.187805,America/New_York,43,40,3.0,"Cash, Visa, MasterCard, Discover, American Express","Ticket Office hours are Monday – Friday, from 10:00 AM to 4:00 PM. Hours may be extended on event days. Arena Box Office Information – (786) 777-1250",Miami HEAT & Arena Event Sales Information: • Miami HEAT Season Tickets & Partial Plans – (786) 777-HOOP • Miami HEAT Group Tickets – (786) 777-DUNK • Miami HEAT Premium Seats (Courtside/Flagship/Suites/Loges) – (786) 777- 4320 • Arena Event Suite Sales – (786) 777-1000 • Group Ticket & Fundraising Opportunities for Arena Family Shows (786) 777-4FUN (4386),"Tickets purchased in advance can be left at the Will Call Window, located on the north side of the Arena next to Gate 3. • Valid ID required to pick up Will Call Tickets",/discovery/v2/venues/KovZpZAJtFaA?locale=en-us
KovZpZA6tdaA,Riverbend Music Center,https://www.ticketmaster.com/riverbend-music-center-tickets-cincinnati/venue/180337,venue,@riverbendpnc,"Restricted items: Alcohol, Glass Containers, Metal Containers, Weapons of any kind, Recording Devices, Professional Cameras, Backpacks, Fireworks, Laser Pointers, Wrenches/Pliers, Pets and Aerosol Spray Cans. Please call the Riverbend Box Office with questions regarding acceptable items. Please refrain from smoking in the Pavilion at all times. Tailgating is never allowed on Riverbend's property or the surrounding lots.",Everyone must have a ticket in the reserved sections of the amphitheatre. Children under 5 years old are admitted free on the lawn when accompanied by a paying adult.,"There are accessible seats for this venue available through all points of sale. Patrons MUST SPECIFY if they need seating for the physically challenged, hearing impaired, or visually impaired. A ticket will be sold in the designated ADA section on a best available basis. These seats allow for one to three companions.",Parking is included in the final purchase price with your ticket. Parking is good at event lots only.,,,,6295 Kellogg Avenue,Cincinnati,Ohio,OH,United States Of America,US,45230,en-us,39.052082,-84.416862,America/New_York,16,16,,"The Box Office accepts Visa, MasterCard, American Express, Travelers Checks, and Cash.","The box is open during the summer concert season, for seasonal hours please refer to www.riverbend.org",Riverbend Music Center Box Office - (513)232-6220 Cincinnati Symphony Orchestra - (513)381-3300,"Will Call tickets can be picked up anytime after 6:00 PM on the evening of the show at the Will Call Window. Customers must present the actual credit card, a picture ID, and the confirmation number.",/discovery/v2/venues/KovZpZA6tdaA?locale=en-us
KovZ917Ah1H,Chase Center,https://www.ticketmaster.com/chase-center-tickets-san-francisco/venue/230012,venue,,,,,,,,,300 16th Street,San Francisco,California,CA,United States Of America,US,94158,en-us,37.76797,-122.387464,America/Los_Angeles,33,31,2.0,,,,,/discovery/v2/venues/KovZ917Ah1H?locale=en-us
KovZpZAEkeJA,PNC Music Pavilion,https://www.ticketmaster.com/pnc-music-pavilion-tickets-charlotte/venue/368716,venue,,"No Coolers No Laser pointers No Weapons No Animals except service animals Food allowed in a clear one gallon plastic bag and one sealed bottle of water. Small camping or lawn chairs are allowed. Chairs with leg or roof attachments are not allowed. Camera Policy: Personal cameras are allowed in the venue. Flash photography, video and removable lens cameras are not permitted without venue approval.",Children 2 years old and under will be admitted free to events as long as they sit in the Adult patrons lap and do not utilize an additional seat.,This is an accessible venue. Please ask when purchasing your tickets about accessible seating.,Lots are located adjacent to the PNC Music Pavilion and for your convenience parking is included in the ticket price. Upgraded parking is also available: Premier Parking prices vary per show and is available in advance and day of show (subject to availability) Limo/RV Parking prices vary per show and is available day of show only at the parking entrance For more information and to purchase please type in PNC Music Pavilion Premier Parking in the search box above.,,,,707 Pavilion Boulevard,Charlotte,North Carolina,NC,United States Of America,US,28262,en-us,35.327362,-80.7106699,America/New_York,29,29,,"Cash, Visa, Mastercard, Discover & AMEX",Located directly beside the front main gate entrance. Hours: Mon-Thurs: 10am-5pm / Friday: 10am-4pm Sat: Only for Onsales from 10am-12noon Tickets can only be purchased in person at the box office. Box office cannot give seat locations over the phone.,Main Venue Number 704-549-1292 Ticketmaster Customer Service 1-800-653-8000,"Located at the Box Office. Tickets can be picked up anytime after they have been verified by Ticketmaster. PLEASE BRING A PICTURE ID, THE ACTUAL CREDIT CARD USED TO PURCHASE THE TICKETS, AND YOUR ORDER NUMBER.",/discovery/v2/venues/KovZpZAEkeJA?locale=en-us
KovZpZA6k7IA,Amalie Arena,https://www.ticketmaster.com/amalie-arena-tickets-tampa/venue/106710,venue,,"Items NOT Allowed: - no bags - no backpacks - no camera bags - no binocular bags - no video recording devices - no audio recording devices - no laser pointers - no weapons of any kind - no bottles - no cans - no containers - no sharp objects - no sticks - no poles - no fireworks - no pepper spray - no mace - no food or beverage - no drugs - no controlled substances Items Allowed: - purses - diaper bags - binoculars - baby bottles and formula NOTE: All items are subject to search ** In order to enhance the safety of patrons attending events at the Amalie Arena, persons purchasing tickets should be aware that as a condition to entry that they may be subject to a security search, including a reasonable pat-down search in some circumstances, and that the purchasing of tickets will constitute a consent to such search. Smoking Policy: This is a NO smoking venue. Smoking Terraces are located outside of the venue.","For most events, including hockey: Kids 0-23 months are free unless otherwise noted. If child has reached their 2nd birthday, they must have a ticket to enter. Children’s policy may vary on some shows, like Disney on Ice. Contact the ticket office for more information.","This is an accessible venue. For hearing and sight impaired seating please call (813) 301-6700. - Wheelchair transportation available - Sign language interpreters available with advance request - Service animals welcome - Drop off circle available along North end of building (Channelside Drive) -Personal sound enhancement receivers available For additional information, please visit www.amaliearena.com","Parking Parking prices vary per event. Purchase your parking in advance on ticketmaster.com or visit www.amaliearena.com/parking. For more information, please visit or call the Amalie Arena Ticket Office at Amalie Arena at (813) 301-2500.",,,,401 Channelside Dr,Tampa,Florida,FL,United States Of America,US,33602,en-us,27.942743,-82.451772,America/New_York,80,76,4.0,"Cash, Visa, MasterCard, American Express, Discover",Amalie Arena Ticket Office 9:00am-5:00pm Monday-Friday 9:00am-2:00pm Saturday Day of Event: hours vary with event time. Please call (813) 301-2500 for specifics.,(813) 301-2500 Amalie Arena Ticket Office (813) 301-6700 Accessible Seating Line (813) 301-6600 Tampa Bay Lightning,"Location: Amalie Arena Ticket Office at the Amalie Arena, west side of the building Open: normal Ticket Office hours on event days Customer must present the actual credit card used for the purchase, a photo ID and Ticketmaster account order number in order to receive tickets. For complete Amalie Arena Ticket Terms & Conditions, please visit www.amaliearena.com/termsandconditions",/discovery/v2/venues/KovZpZA6k7IA?locale=en-us
KovZ917A25V,Little Caesars Arena,https://www.ticketmaster.com/little-caesars-arena-tickets-detroit/venue/66238,venue,,,,,,,,,2645 Woodward,Detroit,Michigan,MI,United States Of America,US,48201,en-us,42.341089,-83.055434,America/New_York,83,80,3.0,"The Box Office accepts MasterCard, Visa, Discover, American Express, and Cash.","The Box Office is open Monday through Friday 9:30 AM to 6:00 PM. On Saturday 9:30 AM to 4:00 PM. On event days, 10:00 AM until ½ hour before scheduled event end. Closed non-event Sundays.",Box Office Phone Number: (313) 471-7929,,/discovery/v2/venues/KovZ917A25V?locale=en-us
KovZpakTme,Honda Center,https://www.ticketmaster.com/honda-center-tickets-anaheim/venue/73797,venue,@HondaCenter,"Non-smoking venue, shirt & shoes required! No audio or recording devices! No backpacks, large bags, bottles, cans, food, drinks, strollers, weapons or fireworks! **CAMERA POLICY VARIES BY EVENT** PROFESSIONAL CAMERAS ARE NOT ALLOWED. PLEASE CONTACT BOX OFFICE AT 714-704-2500 FOR MORE INFO.","Children 23 months and under are free, if on parents lap. 2 yrs old and over must have a ticket.","Wheelchair accessible seating is available in most areas of Honda Center including Plaza, Terrace and Club. Availability of locations is dependent upon event seating configuration. For availability and exact locations based on a particular event, please contact the Honda Center box office at (714) 704-2500 or Ticketmaster by calling (800) 745-3000, by visiting a Ticketmaster Retail Outlet, or by requesting tickets online. Hearing Impaired Guests: Assistive listening devices are available, with a picture ID as a deposit, at the Guest Services Desk located at Section 215. Sign Language Interpreters can be provided by Honda Center. Request must be received at least 48 hours (business days) prior to the event you are attending. For details, please call (714) 704-2431 or (714) 704-2441.","General Parking: $20.00 for concerts and special events, $15.00 for all other events Preferred Parking (if available): $25.00 Limo Parking: $40.00 R.V. Parking: $30.00 Bus & Bus Shuttle (unlimited drop-off and pick-up for an event): $30.00",,,,2695 E. Katella,Anaheim,California,CA,United States Of America,US,92806,en-us,33.80780364,-117.87653112,America/Los_Angeles,102,57,45.0,"Cash, Visa, AMX, and MC accepted at box office.","Mon-Fri: 10am-5pm, Saturday: 10am-4pm. On event Sundays box office opens 3 hours prior to the start of the event.",(714) 704-2500,"Location: Box Office Hours: 1 hour before event begins, closes 1 hour after start of event. Anaheim Ducks games: 1 1/2 hours before game begins, closes 1 hour after start of game",/discovery/v2/venues/KovZpakTme?locale=en-us
KovZpZAEkvtA,Hard Rock Stadium,https://www.ticketmaster.com/hard-rock-stadium-tickets-miami/venue/106734,venue,,"ITEMS NOT ALLOWED FOR GENERAL EVENTS: - no umbrellas - no alcohol - no cans - no bottles - no zoom lenses - no tripods - no coolers - no backpacks - no large bags - no duffle bags - hard-sided containers ITEMS NOT ALLOWED FOR NFL EXPERIENCE: - no umbrellas - no cameras - no recording devices - no alcohol - no cans - no bottles ALL small bags, including purses, diaper bags and fanny packs, WILL BE INSPECTED before they will be permitted into the stadium. Additionally, umbrellas will no longer be permitted in the facility. Due to these increased security measures, patrons will no longer be able to check prohibited items at the stadium gates. ITEMS ALLOWED FOR GENERAL EVENTS: cameras, recording devices","GENERAL EVENTS Ages 0-1 admitted free on ticket holder's lap. If child has celebrated their 2nd birthday, they MUST have a ticket to enter. University of Miami Hurricanes football: Children 2 and under free on adults lap.",This is an accessible venue.,Location: Miami Dolphins Parking: • Parking Lots 11-18 and Walmart open 4hrs prior to kick-off,,,,347 Don Shula Drive,Miami,Florida,FL,United States Of America,US,33056,en-us,25.957928,-80.238866,America/New_York,102,68,34.0,"GENERAL EVENTS: Cash, Visa, MC, Amex and Discover - UNIVERSOUL CIRCUS: Cash only - HURRICANE FOOTBALL at UM Box Office: Cash, Visa, MC, AMEX ($1 service charge on all tickets)","GENERAL EVENTS Mon-Fri 8:30am-6:00pm Sat 10:00am-4:00pm University of Miami Football: 8:30am-5:00pm, Monday-Friday at Hurricane Ticket Office located at the BankUnited Center on UM Campus",(888) FINS-TIX for Miami Dolphins and General Events 1-800-GO-CANES for University of Miami Football 305-341-4701 for the Capital One Orange Bowl For Universoul Circus information 1-800-316-7439,"GENERAL EVENTS Location : Gate G Hours : 10am Miami Hurricanes Football : Gate F at the Stadium, 4 hours prior to Kickoff",/discovery/v2/venues/KovZpZAEkvtA?locale=en-us
KovZpZAEkAnA,North Charleston Performing Arts Center,https://www.ticketmaster.com/north-charleston-performing-arts-center-tickets-north-charleston/venue/369120,venue,@NChasColiseum,"*Smoking allowed in outside designated areas only. *NO outside food or beverage allowed. *NO bottle, cans, weapons or laser pointers. *Cameras and recorders are usually prohibited but there are exception for certain events. *Patrons are subject to search as permissible by law. *NO Reentry.","Children ticket policies vary per show. Children 2 and over need a ticket is the standard policy, but may change with particular children or family events. This information may change depending on the event. Please call 843-529-5033 or visit WWW.COLISEUMPAC.COM.",Wheelchair and accessible seating is available through the venue by calling 843-202-2787 (TDD 843-529-5021).,"Parking for the North Charleston Coliseum, Performing Arts, and Convention Center: Please enter the parking lots off of Montague Avenue. Parking is $10 per vehicle.","Accessible seating is available through ticketmaster.com, charge by phone and at the Coliseum Box Office.

If seats are unavailable below, there may be additional ADA seats available through the Coliseum Box Office. Please call 843-202-2787  to see if they can accommodate your request.","Advance ticketing for both the Coliseum and Performing Arts Center are conducted from the Coliseum Advance Ticket Windows located off of Montague Avenue in front of the south entrance to the North Charleston Coliseum . 

Monday-Friday; 10:00am-5:00pm

Open Saturday and Sunday for events and on-sales only (Saturday 10 a.m. until event/ Sunday Noon until event).","843-529-5000 Office   
Accessible seating is available through the venue by calling 843-202-2787 ",5001 Coliseum Drive,North Charleston,South Carolina,SC,United States Of America,US,29418,en-us,32.8674834,-80.0212533,America/New_York,26,26,,"Cash, Visa, Mastercard, Discover & American Express",Advance ticketing hours for both the Coliseum and Performing Arts Center are conducted from the Coliseum Advance Ticket Windows located off of Montague Avenue in front of the south entrance to the North Charleston Coliseum . Monday-Friday; 10:00am-5:00pm Open Saturday and Sunday for events and on-sales only (Saturday 10 a.m. until event/ Sunday Noon until event).,843-529-5000 Office 800-745-3000 Charge-by-Phone Accessible seating is available through the venue by calling 843-202-2787,"Will call can be picked up in advance for both Coliseum and Performing Arts Center events at the advance ticket windows (please see Box Office Location and Hours above). Performing Art Center ticket windows day of show hours: Two hours prior to show time until promoter closes the windows. PLEASE BRING A PICTURE ID, THE ACTUAL CREDIT CARD USED TO PURCHASE THE TICKETS, AND YOUR ORDER NUMBER.",/discovery/v2/venues/KovZpZAEkAnA?locale=en-us
