title,actor,dates
LE DAIM ,Quentin Dupieux ,"jeu. 19 sep 15:50 15:50, ven. 20 sep 19:00 19:00, dim. 22 sep 18:10 18:10, lun. 23 sep 20:20 20:20"
MA FOLLE SEMAINE AVEC TESS,De Steven Wouterlood ,"mer. 18 sep 10:00 10:00 14:40 14:40, dim. 22 sep 14:20 14:20 16:20 16:20, lun. 23 sep 18:30 18:30vo, mar. 24 sep 16:30 16:30vo"
UN PETIT AIR DE FAMILLE ,Collectif,"mer. 18 sep 10:30 10:30 16:40 16:40, dim. 22 sep 16:10 16:10"
PORTRAIT DE LA JEUNE FILLE EN FEU ,Céline Sciamma ,"mer. 18 sep 14:20 14:20 17:50 17:50 20:10 20:10, jeu. 19 sep 17:30 17:30 20:10 20:10, ven. 20 sep 14:10 14:10 16:40 16:40 21:00 21:00, dim. 22 sep 17:20 17:20 20:00 20:00rencontres, lun. 23 sep 14:00 14:00 16:10 16:10 18:10 18:10, mar. 24 sep 14:00 14:00 18:10 18:10 20:10 20:10"
LES HIRONDELLES DE KABOUL,Zabou Breitman et Eléa Gobbé-Mévellec,"mer. 18 sep 16:30 16:30 20:30 20:30, jeu. 19 sep 14:10 14:10 16:00 16:00, ven. 20 sep 17:00 17:00 19:10 19:10, dim. 22 sep 14:30 14:30 20:20 20:20, lun. 23 sep 12:00 12:00 20:30 20:30, mar. 24 sep 14:10 14:10 20:30 20:30"
VIENDRA LE FEU ,Oliver Laxe ,"mer. 18 sep 18:30 18:30, jeu. 19 sep 14:00 14:00 18:00 18:00, ven. 20 sep 21:10 21:10, lun. 23 sep 12:10 12:10 14:10 14:10 16:30 16:30, mar. 24 sep 16:20 16:20 18:30 18:30"
SWEETIE,Jane Campion ,jeu. 19 sep 20:00 20:00vo
Retour vers le futur II,Robert Zemeckis,sam. 21 sep 15:00 15:00vf
FEMMES AU BORD DE LA CRISE DE NERFS,Pedro Almodóvar ,sam. 21 sep 15:10 15:10vo
INDIANA JONES ET LA DERNIÈRE CROISADE,Steven Spielberg ,sam. 21 sep 19:15 19:15vf 21:30 21:30vo
LES LIAISONS DANGEREUSES,Stephen Frears ,sam. 21 sep 21:00 21:00vo
RAIN MAN,Barry Levinson ,dim. 22 sep 00:00 00:00vo
UN POISSON NOMMÉ WANDA,"Charles Crichton, John Cleese ",dim. 22 sep 00:10 00:10vo
