,Unnamed: 0,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_weekday,shipdate_month,shipdate_year,preparationtime
0,1,First Class,825.174,9,0.3,-117.882,Corporate,Central,Illinois,Bookcases                                         ,Furniture,4,Sonntag,9,2016,6,Dienstag,9,2016,2
1,2,Standard Class,411.332,4,0.15,-4.8392,Consumer,West,California,Bookcases                                         ,Furniture,5,Freitag,9,2014,9,Dienstag,9,2014,4
2,3,Same Day,411.332,4,0.15,-4.8392,Home Office,West,California,Bookcases                                         ,Furniture,28,Donnerstag,11,2013,28,Donnerstag,11,2013,0
3,4,First Class,241.96,2,0.0,33.8744,Consumer,South,Louisiana,Bookcases                                         ,Furniture,30,Montag,5,2016,31,Dienstag,5,2016,1
4,5,Standard Class,341.96,2,0.0,78.6508,Home Office,East,Rhode Island,Bookcases                                         ,Furniture,31,Dienstag,12,2013,7,Dienstag,1,2014,7
5,6,First Class,359.05800000000005,3,0.3,-35.9058,Home Office,Central,Illinois,Bookcases                                         ,Furniture,24,Montag,3,2014,27,Donnerstag,3,2014,3
6,7,Same Day,136.784,1,0.2,5.1294,Consumer,East,New York,Bookcases                                         ,Furniture,5,Freitag,6,2015,5,Freitag,6,2015,0
7,8,Standard Class,1025.88,6,0.0,235.9524,Corporate,East,Delaware,Bookcases                                         ,Furniture,19,Dienstag,11,2013,25,Montag,11,2013,6
8,9,Standard Class,290.666,2,0.15,27.3568,Corporate,West,California,Bookcases                                         ,Furniture,26,Sonntag,5,2013,30,Donnerstag,5,2013,4
9,10,Second Class,145.74,3,0.0,23.3184,Consumer,South,Louisiana,Bookcases                                         ,Furniture,6,Samstag,8,2016,10,Mittwoch,8,2016,4
10,11,Standard Class,102.01799999999999,7,0.7,-183.6324,Consumer,West,Colorado,Bookcases                                         ,Furniture,19,Montag,12,2016,23,Freitag,12,2016,4
11,12,Standard Class,194.32,4,0.0,31.0912,Corporate,Central,Michigan,Bookcases                                         ,Furniture,21,Sonntag,9,2014,27,Samstag,9,2014,6
12,13,Second Class,155.45600000000002,4,0.2,-7.7728,Consumer,South,Florida,Bookcases                                         ,Furniture,8,Donnerstag,8,2013,10,Samstag,8,2013,2
13,14,Second Class,48.58,1,0.0,7.7728,Consumer,West,Washington,Bookcases                                         ,Furniture,30,Freitag,1,2015,1,Sonntag,2,2015,2
14,15,Standard Class,77.72800000000001,2,0.2,-3.8864,Consumer,South,North Carolina,Bookcases                                         ,Furniture,15,Mittwoch,6,2016,19,Sonntag,6,2016,4
